continue number,area code,airport name,ICAO identifier,ICAO code,ICAO code
0,CAN,LOWELL FLD                    ,00AK,PA,  
0,CAN,PURKEYPILE                    ,01A ,PA,  
0,CAN,BAREFOOT                      ,02AA,PA,  
0,CAN,RUSTIC WILDERNESS             ,02AK,PA,  
0,CAN,JOE CLOUDS                    ,03AK,PA,  
0,CAN,FLYING W RANCH                ,04AA,PA,  
0,CAN,CHATHAM                       ,05AA,PA,  
0,CAN,WASILLA CREEK AIRPARK         ,05AK,PA,  
0,CAN,TWISTED SISTERS               ,06AA,PA,  
0,CAN,JUNE LAKE AIRPARK             ,06AK,PA,  
0,CAN,PAN LAKE STRIP                ,07AA,PA,  
0,CAN,FISHER                        ,08AK,PA,  
0,CAN,WEST BEAVER                   ,09AK,PA,  
0,CAN,YAKATAGA                      ,0AA1,PA,  
0,CAN,FAREWELL                      ,0AA4,PA,  
0,CAN,RANGEVIEW AIRSTRIP            ,0AA5,PA,  
0,CAN,KALIFONSKY MEADOWS            ,0AA7,PA,  
0,CAN,PILOT STATION                 ,0AK ,PA,  
0,CAN,SCOTTS                        ,0AK0,PA,  
0,CAN,ANDERSON LAKE                 ,0AK1,PA,  
0,CAN,YENTNA BEND STRIP             ,0AK2,PA,  
0,CAN,PARKER LAKE                   ,0AK3,PA,  
0,CAN,YOUNG CREEK                   ,0AK5,PA,  
0,CAN,VICTORY                       ,0AK6,PA,  
0,CAN,BRADLEY LAKE HYDROELECTRIC PRO,0AK7,PA,  
0,CAN,FIREWEED                      ,0AK8,PA,  
0,CAN,FALCON LAKE STRIP             ,0AK9,PA,  
0,CAN,HUNT STRIP                    ,10AK,PA,  
0,CAN,ROCKING T RANCH               ,11AK,PA,  
0,CAN,SATTERBERGS                   ,13AK,PA,  
0,CAN,LAKE LOUISE                   ,13S ,PA,  
0,CAN,LORING                        ,13Z ,PA,  
0,CAN,FOUR CORNERS                  ,14AK,PA,  
0,CAN,GOLDEN NORTH AIRFIELD         ,15AK,PA,  
0,CAN,GATTIS STRIP                  ,16AK,PA,  
0,CAN,PORT ALICE                    ,16K ,PA,  
0,CAN,MC GRATH                      ,16Z ,PA,  
0,CAN,18 MEADOWS AERODROME          ,18AA,PA,  
0,CAN,ICY BAY                       ,19AK,PA,  
0,CAN,PORT PROTECTION               ,19P ,PA,  
