1 continue number,2 area code,3 NDB idertifier,4 NDB latitude,5 NDB longitude,6 airport:,7 VOR name
0,LAM,ST  ,N17413091,W064530474,TISX,PESTE                         
0,LAM,SJ  ,N18243207,W066052241,TJSJ,PATTY                         
0,PAC,HN  ,N21192895,W158025640,PHNL,EWABE                         
0,USA,AB  ,N32175591,W099402722,KABI,TOMHI                         
0,USA,AB  ,N45230998,W098194264,KABR,RENEY                         
0,USA,AI  ,N34135645,W096555919,KADM,ADDMO                         
0,USA,AE  ,N35130264,W106424608,KAEG,DUDLE                         
0,USA,AG  ,N33171279,W081564867,KAGS,BUSHE                         
0,USA,AI  ,N40041030,W085303847,KAID,VIDEO                         
0,USA,AK  ,N41041104,W081231452,KAKR,AKRON                         
0,USA,AL  ,N46103204,W118114689,KALW,TRINA                         
0,USA,AM  ,N35084727,W101481997,KAMA,PANDE                         
0,USA,AN  ,N33320362,W085555257,KANB,BOGGA                         
0,USA,AP  ,N44573885,W083333577,KAPN,FELPS                         
0,USA,DO  ,N45500453,W089434901,KARV,DOUGY                         
0,USA,AQ  ,N44125741,W088235618,KATW,KOOKY                         
0,USA,AU  ,N44243931,W069513840,KAUG,DUNNS                         
0,USA,IM  ,N35315832,W082351488,KAVL,KEANS                         
0,USA,AW  ,N48043403,W122091408,KAWO,WATON                         
0,USA,AY  ,N31193290,W082235200,KAYS,WIKET                         
0,USA,AZ  ,N42075219,W085314709,KAZO,AUSTN                         
0,USA,BA  ,N39191918,W085490696,KBAK,CLIFS                         
0,USA,BH  ,N33304148,W086504413,KBHM,MCDEN                         
0,USA,BK  ,N44211630,W096564854,KBKX,CHRLZ                         
0,USA,JD  ,N38284082,W089441667,KBLV,GOOEY                         
0,USA,LH  ,N40333727,W088522868,KBMI,EGROW                         
0,USA,BR  ,N46272383,W094012075,KBRD,LAREW                         
0,USA,BR  ,N40391569,W091072361,KBRL,BURNS                         
0,USA,BR  ,N25590119,W097303275,KBRO,DEPOO                         
0,USA,BT  ,N42214324,W085110420,KBTL,BATOL                         
0,USA,BT  ,N30345851,W091123989,KBTR,RUNDI                         
0,USA,BT  ,N44315624,W073145832,KBTV,HERRO                         
0,USA,BU  ,N43000114,W078390278,KBUF,KLUMP                         
0,USA,GB  ,N42522600,W078485923,KBUF,PLAZZ                         
0,USA,BV  ,N36502247,W096005079,KBVO,DEWIE                         
0,USA,BV  ,N35421155,W091475175,KBVX,ALMND                         
0,USA,BW  ,N36524813,W086285375,KBWG,NOORA                         
0,USA,BZ  ,N45521903,W111170819,KBZN,MANNI                         
0,USA,MA  ,N44141346,W085325046,KCAD,WEXOR                         
0,USA,CA  ,N33580196,W081144131,KCAE,MURRY                         
0,USA,CD  ,N42451865,W103102877,KCDR,DAWES                         
0,USA,SQ  ,N39463760,W085074760,KCEV,PNTHR                         
0,USA,CE  ,N30511027,W086321180,KCEW,KOBRA                         
0,USA,EU  ,N36431436,W088172390,KCEY,MUREY                         
0,USA,CG  ,N37151205,W089420164,KCGI,DUTCH                         
0,USA,CH  ,N32583477,W080055084,KCHS,ASHLY                         
0,USA,CI  ,N46195711,W084323288,KCIU,KOLOE                         
0,USA,CK  ,N36313741,W087231233,KCKV,SNUFF                         
0,USA,CL  ,N30293758,W096201606,KCLL,ROWDY                         
0,USA,CL  ,N48090072,W123401290,KCLM,ELWHA                         
0,USA,CM  ,N39575828,W088105661,KCMI,VEALS                         
0,USA,CV  ,N32160045,W104201864,KCNM,CARLZ                         
0,USA,CO  ,N43070760,W071270875,KCON,EPSOM                         
0,USA,CO  ,N38413954,W104425883,KCOS,PETEY                         
0,USA,CP  ,N38311159,W090033337,KCPS,ACORE                         
0,USA,UU  ,N35005594,W088365645,KCRX,SEYER                         
0,USA,CS  ,N32270705,W085023098,KCSG,FENIX                         
0,USA,BZ  ,N35270238,W099120532,KCSM,FOSSI                         
