continue number,area code,ICAO identifier,ICAO code,runway length,runway width,runway latitude,runway longitude,runway desc
0,CAN,01A ,PA,01176,050,N62562477,W152162256,                      
0,CAN,01A ,PA,01176,050,N62562867,W152155863,                      
0,CAN,05AK,PA,02000,100,N61395881,W149112540,                      
0,CAN,05AK,PA,02000,100,N61401550,W149110340,                      
0,CAN,06AA,PA,01504,070,N60322500,W150490400,                      
0,CAN,06AA,PA,01504,070,N60322400,W150483400,                      
0,CAN,0AA1,PA,04350,075,N60045499,W142302592,                      
0,CAN,0AA1,PA,04350,075,N60044712,W142290164,                      
0,CAN,0AA4,PA,04600,030,N62303884,W153541360,                      
0,CAN,0AA4,PA,04600,030,N62302728,W153523891,                      
0,CAN,0AK ,PA,04000,075,N61573070,W162570771,                      
0,CAN,0AK ,PA,04000,075,N61575193,W162555725,                      
0,CAN,18AA,PA,01663,060,N59215285,W135483349,                      
0,CAN,18AA,PA,01663,060,N59215550,W135480182,                      
0,CAN,20K ,PA,01650,030,N65212500,W149453772,                      
0,CAN,20K ,PA,01650,030,N65210898,W149454420,                      
0,CAN,27AK,PA,01700,050,N61564820,W151022771,                      
0,CAN,27AK,PA,01700,050,N61563868,W151015847,                      
0,CAN,2AK ,PA,01500,055,N61213663,W155263863,                      
0,CAN,2AK ,PA,01500,055,N61212911,W155261215,                      
0,CAN,2K5 ,PA,01900,040,N63223863,W153171967,                      
0,CAN,2K5 ,PA,01900,040,N63225006,W153164668,                      
0,CAN,2X2 ,PA,03600,400,N61445262,W150035003,                      
0,CAN,2X2 ,PA,03600,400,N61442021,W150031973,                      
0,CAN,2Z3 ,PA,00950,040,N64023217,W148515788,                      
0,CAN,2Z3 ,PA,00950,040,N64023105,W148513669,                      
0,CAN,3T4 ,PA,03300,075,N63073213,W142314190,                      
0,CAN,3T4 ,PA,03300,075,N63072564,W142303160,                      
0,CAN,42AK,PA,05000,150,N70062917,W152085303,                      
0,CAN,42AK,PA,05000,150,N70064918,W152064108,                      
0,CAN,4A2 ,PA,03000,075,N60521870,W162163457,                      
0,CAN,4A2 ,PA,03000,075,N60515000,W162162020,                      
0,CAN,4A3 ,PA,05000,999,N61342497,W149292270,                      
0,CAN,4A3 ,PA,05000,999,N61343516,W149274164,                      
0,CAN,4AK ,PA,03000,050,N65281681,W148391800,                      
0,CAN,4AK ,PA,03000,050,N65274752,W148390898,                      
0,CAN,4AK1,PA,05000,150,N69595597,W153052876,                      
0,CAN,4AK1,PA,05000,150,N70003161,W153034973,                      
0,CAN,4AK6,PA,03800,040,N61382175,W149174155,                      
0,CAN,4AK6,PA,03800,040,N61382175,W149162290,                      
0,CAN,4K0 ,PA,03002,060,N59475425,W154081536,                      
0,CAN,4K0 ,PA,03002,060,N59474382,W154072046,                      
0,CAN,4K5 ,PA,03300,060,N57563476,W152282402,                      
0,CAN,4K5 ,PA,03300,060,N57562876,W152272393,                      
0,CAN,51Z ,PA,03400,075,N65084101,W149223359,                      
0,CAN,51Z ,PA,03400,075,N65090582,W149214025,                      
0,CAN,5A8 ,PA,02030,060,N59170683,W158370959,                      
0,CAN,5A8 ,PA,02030,060,N59164757,W158365906,                      
0,CAN,5C5 ,PA,07205,150,N55590448,W133161700,                      
0,CAN,5C5 ,PA,07205,150,N55575443,W133155632,                      
0,CAN,5HO ,PA,02040,060,N60543608,W149371964,                      
0,CAN,5HO ,PA,02040,060,N60541614,W149372460,                      
0,CAN,5KE ,PA,03893,999,N55204915,W131401567,                      
0,CAN,5KE ,PA,03893,999,N55203007,W131391725,                      
0,CAN,5KS ,PA,02400,060,N60205153,W151155781,                      
0,CAN,5KS ,PA,02400,060,N60211222,W151153476,                      
0,CAN,5NK ,PA,01950,050,N58441000,W157020500,                      
0,CAN,5NK ,PA,01836,045,N58440821,W157011938,                      
0,CAN,5NK ,PA,01950,050,N58440932,W157012808,                      
0,CAN,5NK ,PA,01836,045,N58435101,W157010861,                      
0,CAN,5Z5 ,PA,01887,045,N63323379,W150595769,                      
0,CAN,5Z5 ,PA,01887,045,N63322131,W150592686,                      
0,CAN,65AK,PA,02700,075,N61333746,W149223184,                      
0,CAN,65AK,PA,02700,075,N61333747,W149213611,                      
0,CAN,6AK2,PA,01600,060,N61150514,W149581462,                      
0,CAN,6AK2,PA,01600,060,N61150657,W149574205,                      
0,CAN,6R7 ,PA,02750,060,N57125580,W153162805,                      
0,CAN,6R7 ,PA,02750,060,N57131600,W153155474,                      
0,CAN,7AK6,PA,01900,040,N60282877,W150560091,                      
0,CAN,7AK6,PA,01900,040,N60283712,W150552702,                      
0,CAN,80A ,PA,01500,070,N65060921,W151105063,                      
0,CAN,80A ,PA,01500,070,N65061946,W151102545,                      
0,CAN,94Z ,PA,01950,110,N64303415,W165234013,                      
0,CAN,94Z ,PA,01950,110,N64304809,W165230953,                      
0,CAN,9A8 ,PA,03100,060,N57312103,W157241330,                      
0,CAN,9A8 ,PA,03100,060,N57312763,W157231786,                      
0,CAN,9AK9,PA,01900,060,N60331068,W150384600,                      
0,CAN,9AK9,PA,01900,060,N60331077,W150380800,                      
0,CAN,9Z8 ,PA,03284,060,N59072291,W156514940,                      
0,CAN,9Z8 ,PA,03284,060,N59075199,W156512184,                      
0,CAN,9Z9 ,PA,02355,060,N60245437,W149221060,                      
0,CAN,9Z9 ,PA,02355,060,N60243120,W149220866,                      
0,CAN,A61 ,PA,03005,075,N60205168,W162393317,                      
0,CAN,A61 ,PA,03005,075,N60211630,W162390002,                      
0,CAN,A63 ,PA,03000,060,N59044252,W160162243,                      
0,CAN,A63 ,PA,03000,060,N59041406,W160163786,                      
0,CAN,A67 ,PA,02100,035,N59244838,W139022052,                      
0,CAN,A67 ,PA,02100,035,N59245527,W139014227,                      
0,CAN,A68 ,PA,02150,010,N59331987,W139304587,                      
0,CAN,A68 ,PA,02150,010,N59330080,W139302773,                      
0,CAN,A69 ,PA,01900,010,N59150663,W138302421,                      
0,CAN,A69 ,PA,01900,010,N59145047,W138300578,                      
0,CAN,A79 ,PA,02800,060,N56152224,W158470454,                      
0,CAN,A79 ,PA,02800,060,N56151705,W158461585,                      
0,CAN,AA05,PA,00988,020,N57333473,W156472079,                      
0,CAN,AA05,PA,00988,020,N57332669,W156471054,                      
0,CAN,AA10,PA,02000,050,N61315762,W149421610,                      
0,CAN,AA10,PA,02000,050,N61315920,W149413498,                      
0,CAN,AK0 ,PA,01000,025,N61131118,W142533605,                      
0,CAN,AK0 ,PA,01000,025,N61130470,W142532067,                      
0,CAN,AK06,PA,04000,050,N63384173,W148475578,                      
0,CAN,AK06,PA,04000,050,N63380900,W148470657,                      
0,CAN,AK19,PA,01975,075,N62103164,W150035076,                      
0,CAN,AK19,PA,01975,075,N62101221,W150034978,                      
0,CAN,AK51,PA,04000,200,N58380342,W156343265,                      
0,CAN,AK51,PA,04000,200,N58391269,W156351590,                      
0,CAN,AK51,PA,04000,200,N58384270,W156343904,                      
0,CAN,AK51,PA,04000,200,N58383877,W156343745,                      
0,CAN,AK76,PA,01500,010,N59073020,W138244329,                      
0,CAN,AK76,PA,01500,010,N59073905,W138242030,                      
0,CAN,AK92,PA,00600,050,N61381752,W149014104,                      
0,CAN,AK92,PA,00600,050,N61381196,W149014528,                      
0,CAN,AK96,PA,05000,100,N57305405,W157235424,                      
0,CAN,AK96,PA,05000,100,N57310410,W157222461,                      
0,CAN,AQY ,PA,02095,060,N60580052,W149072315,                      
0,CAN,AQY ,PA,02095,060,N60581644,W149065614,                      
0,CAN,CHP ,PA,03669,080,N65291628,W144372211,                      
