1 continue number,2 area code,3 VOR idertifier,4 VOR latitude,5 VOR longitude,6 airport:,7 VOR name
0,CAN,ADK ,         ,          ,    ,MOUNT MOFFETT            
0,CAN,AFE ,         ,          ,    ,KAKE                     
0,CAN,AKN ,N58432897,W156450845,    ,KING SALMON              
0,CAN,AKW ,         ,          ,    ,KLAWOCK                  
0,CAN,ANN ,N55033747,W131344224,    ,ANNETTE ISLAND           
0,CAN,BER ,         ,          ,    ,ADAK                     
0,CAN,BET ,N60470541,W161492759,    ,BETHEL                   
0,CAN,BGQ ,N61340996,W149580177,    ,BIG LAKE                 
0,CAN,BIG ,N64001606,W145430209,    ,BIG DELTA                
0,CAN,BKA ,N56513387,W135330472,    ,BIORKA ISLAND            
0,CAN,BRW ,N71162434,W156471722,    ,BARROW                   
0,CAN,BTT ,N66541803,W151320918,    ,BETTLES                  
0,CAN,BVK ,         ,          ,    ,BUCKLAND                 
0,CAN,CDB ,N55160226,W162462639,    ,COLD BAY                 
0,CAN,CZF ,         ,          ,    ,CAPE ROMANZOF            
0,CAN,DGG ,         ,          ,    ,RED DOG                  
0,CAN,DLG ,N58593924,W158330799,    ,DILLINGHAM               
0,CAN,DUT ,         ,          ,    ,DUTCH HARBOR             
0,CAN,EDF ,         ,          ,    ,ELMENDORF                
0,CAN,EHM ,         ,          ,    ,CAPE NEWENHAM            
0,CAN,EIL ,         ,          ,    ,EIELSON                  
0,CAN,ENA ,N60365293,W151114287,    ,KENAI                    
0,CAN,ENM ,N62470452,W164291512,    ,EMMONAK                  
0,CAN,ENN ,N64352404,W149042234,    ,NENANA                   
0,CAN,FAI ,N64480025,W148004311,    ,FAIRBANKS                
0,CAN,FYU ,N66342731,W145163597,    ,FORT YUKON               
0,CAN,GAL ,N64441730,W156463767,    ,GALENA                   
0,CAN,GAM ,         ,          ,    ,GAMBELL                  
0,CAN,GKN ,N62091351,W145265051,    ,GULKANA                  
0,CAN,HBT ,         ,          ,    ,BORLAND                  
0,CAN,HOM ,N59423395,W151272376,    ,HOMER                    
0,CAN,HPB ,N61305165,W166080413,    ,HOOPER BAY               
0,CAN,HSL ,N65422835,W156214711,    ,HUSLIA                   
0,CAN,ILI ,         ,          ,    ,ILIAMNA                  
0,CAN,JOH ,N60285143,W146355761,    ,JOHNSTONE POINT          
0,CAN,KKA ,         ,          ,    ,KOYUK                    
0,CAN,LUR ,         ,          ,    ,CAPE LISBURNE            
0,CAN,LVD ,N56280375,W133045921,    ,LEVEL ISLAND             
0,CAN,MCG ,N62570372,W155364097,    ,MC GRATH                 
0,CAN,MDO ,N59251850,W146210005,    ,MIDDLETON ISLAND         
0,CAN,MOS ,N64414749,W162041657,    ,MOSES POINT              
0,CAN,ODK ,N57463013,W152202342,    ,KODIAK                   
0,CAN,OLT ,         ,          ,    ,SOLDOTNA                 
0,CAN,OME ,N64290639,W165151143,    ,NOME                     
0,CAN,OQK ,         ,          ,    ,NOATAK                   
0,CAN,ORT ,N62564992,W141544539,    ,NORTHWAY                 
0,CAN,OTZ ,N66530846,W162322378,    ,KOTZEBUE                 
0,CAN,PDN ,         ,          ,    ,PORT HEIDEN              
0,CAN,SCC ,N70115711,W148245817,    ,DEADHORSE                
0,CAN,SPY ,         ,          ,    ,ST PAUL ISLAND           
0,CAN,SQA ,N61055489,W155380449,    ,SPARREVOHN               
0,CAN,SRI ,         ,          ,    ,PRIBILOF                 
0,CAN,SSR ,N58103958,W135153191,    ,SISTERS ISLAND           
0,CAN,SYA ,N52430578,E174034350,    ,SHEMYA                   
0,CAN,TAL ,N65103765,W152103918,    ,TANANA                   
0,CAN,TED ,N61100432,W149573651,    ,ANCHORAGE                
0,CAN,TKA ,N62175416,W150061890,    ,TALKEETNA                
0,CAN,TNC ,         ,          ,    ,TIN CITY                 
0,CAN,TOG ,         ,          ,    ,TOGIAK                   
0,CAN,ULL ,N63413239,W170281165,    ,KUKULIAK                 
0,CAN,UNK ,N63533099,W160410339,    ,UNALAKLEET               
0,CAN,UTO ,         ,          ,    ,UTOPIA CREEK             
0,CAN,VBI ,N49283700,W094024800,    ,SIOUX NARROWS            
0,CAN,VLN ,N50400100,W104532300,    ,LUMSDEN                  
0,CAN,VLV ,         ,          ,    ,BEAUCE                   
0,CAN,WLK ,N66355811,W159592698,    ,SELAWIK                  
0,CAN,YAK ,N59303899,W139385326,    ,YAKUTAT                  
0,CAN,YBR ,N49543599,W099564439,    ,BRANDON                  
0,CAN,YDC ,N49225360,W120222539,    ,PRINCETON                
0,CAN,YFC ,N45534300,W066250800,    ,FREDERICTON              
0,CAN,YOW ,N45263013,W075534896,    ,OTTAWA                   
0,CAN,YQB ,N46421911,W071373454,    ,QUEBEC                   
0,CAN,YQI ,N43493035,W066045675,    ,YARMOUTH                 
0,CAN,YQL ,N49380384,W112400403,    ,LETHBRIDGE               
0,CAN,YQM ,N46112024,W064341471,    ,MONCTON                  
0,CAN,YQT ,N48151356,W089261528,    ,THUNDER BAY              
0,CAN,YSJ ,N45242626,W065521280,    ,SAINT JOHN               
0,CAN,YTS ,N48341964,W081221717,    ,TIMMINS                  
0,CAN,YUL ,N45365700,W073581500,    ,MONTREAL                 
0,CAN,YVR ,N49043835,W123085666,    ,VANCOUVER                
0,CAN,YVV ,N44444100,W081061800,    ,WIARTON                  
0,CAN,YWG ,N49553997,W097142108,    ,WINNIPEG                 
0,CAN,YWL ,N52141300,W122101100,    ,WILLIAMS LAKE            
0,CAN,YXC ,N49331795,W116051573,    ,CRANBROOK                
0,CAN,YXU ,N43021648,W081085615,    ,LONDON                   
0,CAN,YXY ,N60370800,W135082000,    ,WHITEHORSE               
0,CAN,YYC ,N51065400,W113525200,    ,CALGARY                  
0,CAN,YYJ ,N48433735,W123290370,    ,VICTORIA                 
0,CAN,YYN ,N50174900,W107412500,    ,SWIFT CURRENT            
0,CAN,YYY ,N48364372,W068123235,    ,MONT JOLI                
0,CAN,YYZ ,N43392887,W079375315,    ,TORONTO                  
0,CAN,YZP ,N53150800,W131482510,    ,SANDSPIT                 
0,CAN,YZT ,N50410290,W127215510,    ,PORT HARDY               
0,CAN,IBET,         ,          ,PABE,BETHEL                   
0,CAN,IBIG,         ,          ,PABI,ALLEN AAF                
0,CAN,IBRW,         ,          ,PABR,WILEY POST-WILL ROGERS M 
0,CAN,ICDV,         ,          ,PACV,MERLE K (MUDHOLE) SMITH  
0,CAN,IDLG,         ,          ,PADL,DILLINGHAM               
0,CAN,IADQ,         ,          ,PADQ,KODIAK                   
0,CAN,IENA,         ,          ,PAEN,KENAI MUNI               
0,CAN,ICNA,         ,          ,PAFA,FAIRBANKS INTL           
0,CAN,IFAI,         ,          ,PAFA,FAIRBANKS INTL           
0,CAN,IHOM,         ,          ,PAHO,HOMER                    
0,CAN,IJDL,         ,          ,PAJN,JUNEAU INTL              
0,CAN,IAKN,         ,          ,PAKN,KING SALMON              
0,CAN,IECH,         ,          ,PAKT,KETCHIKAN INTL           
0,CAN,IRGN,         ,          ,PAKU,UGNU-KUPARUK             
0,CAN,IRHF,         ,          ,PAKU,UGNU-KUPARUK             
0,CAN,IMCG,         ,          ,PAMC,MC GRATH                 
0,CAN,IANC,         ,          ,PANC,TED STEVENS ANCHORAGE IN 
0,CAN,IBSC,         ,          ,PANC,TED STEVENS ANCHORAGE IN 
0,CAN,ITGN,         ,          ,PANC,TED STEVENS ANCHORAGE IN 
0,CAN,IANI,         ,          ,PANI,ANIAK                    
0,CAN,IOME,         ,          ,PAOM,NOME                     
0,CAN,IOTZ,         ,          ,PAOT,RALPH WIEN MEML          
0,CAN,IPSG,         ,          ,PAPG,PETERSBURG JAMES A JOHNS 
0,CAN,ISCC,         ,          ,PASC,DEADHORSE                
0,CAN,ISIT,         ,          ,PASI,SITKA ROCKY GUTIERREZ    
0,CAN,ISMA,         ,          ,PASM,ST MARY'S                
0,CAN,IUNK,         ,          ,PAUN,UNALAKLEET               
0,CAN,IVDZ,         ,          ,PAVD,VALDEZ PIONEER FLD       
0,CAN,IRGL,         ,          ,PAWG,WRANGELL                 
0,LAM,ANU ,N17073317,W061480060,    ,V. C. BIRD               
0,LAM,BGI ,N13043017,W059290179,    ,ADAMS                    
0,LAM,BQN ,N18295281,W067063006,    ,BORINQUEN                
0,LAM,CDO ,N18260297,W069400243,    ,PUNTA CAUCEDO            
0,LAM,COY ,N17440400,W064420260,    ,ST CROIX                 
0,LAM,DEL ,N28125096,W105265484,    ,DELICIAS                 
0,LAM,FOF ,N14352670,W061012210,    ,MARTINIQUE               
0,LAM,GTK ,N21262637,W071080372,    ,GRAND TURK               
0,LAM,MAM ,N25461502,W097312606,    ,MATAMOROS                
0,LAM,MAZ ,N18152323,W067090372,    ,MAYAGUEZ                 
0,LAM,NRR ,         ,          ,    ,ROOSEVELT ROADS          
0,LAM,OBN ,N18261770,W072162803,    ,OBLEON                   
0,LAM,PJM ,N18021622,W063070578,    ,SAINT MAARTEN            
0,LAM,PNA ,N18340213,W068225993,    ,PUNTA CANA               
0,LAM,PPR ,N16155470,W061322450,    ,POINTE A PITRE           
0,LAM,PTA ,N19453342,W070341350,    ,PUERTO PLATA             
0,LAM,PVN ,N21462007,W072155767,    ,PROVIDENCIALES           
0,LAM,REX ,N26003827,W098135473,    ,REYNOSA                  
0,LAM,SJU ,N18264661,W065592223,    ,SAN JUAN                 
0,LAM,STT ,N18212094,W065012840,    ,ST THOMAS                
0,LAM,TIJ ,N32322559,W116570972,    ,TIJUANA                  
0,LAM,ITMN,         ,          ,TIST,CYRIL E KING             
0,LAM,ICLA,         ,          ,TJSJ,LUIS MUNOZ MARIN INTL    
0,PAC,AWK ,N19171169,E166373840,    ,WAKE ISLAND              
0,PAC,CKH ,N21155440,W157421073,    ,KOKO HEAD                
0,PAC,HNL ,N21182996,W157554948,    ,HONOLULU                 
0,PAC,ITO ,N19431686,W155003944,    ,HILO                     
0,PAC,KOA ,N19430206,W156024171,    ,KONA                     
0,PAC,LIH ,N21575498,W159201716,    ,LIHUE                    
0,PAC,LNY ,N20455220,W156580800,    ,LANAI                    
0,PAC,MAJ ,         ,          ,    ,MAJURO                   
0,PAC,MKK ,N21081720,W157100270,    ,MOLOKAI                  
0,PAC,MUE ,N19595300,W155401150,    ,KAMUELA                  
0,PAC,NBS ,         ,          ,    ,BARKING SANDS PMRF       
0,PAC,NGF ,         ,          ,    ,KANEOHE BAY              
0,PAC,OGG ,N20542330,W156251543,    ,MAUI                     
0,PAC,PNI ,         ,          ,    ,POHNPEI                  
0,PAC,ROR ,         ,          ,    ,KOROR                    
0,PAC,SOK ,N21540141,W159314394,    ,SOUTH KAUAI              
0,PAC,TKK ,         ,          ,    ,TRUK                     
0,PAC,UAM ,         ,          ,    ,ANDERSEN                 
0,PAC,UKS ,         ,          ,    ,KOSRAE                   
0,PAC,UNZ ,N13271638,E144435996,    ,NIMITZ                   
0,PAC,UPP ,N20120195,W155503576,    ,UPOLU POINT              
0,PAC,YP  ,         ,          ,    ,YAP                      
0,PAC,IGSN,         ,          ,PGSN,FRANCISCO C ADA/SAIPAN I 
0,PAC,IAWD,         ,          ,PGUM,GUAM INTL                
0,PAC,IGUM,         ,          ,PGUM,GUAM INTL                
0,PAC,IKOA,         ,          ,PHKO,ELLISON ONIZUKA KONA INT 
0,PAC,ILIH,         ,          ,PHLI,LIHUE                    
0,PAC,IEPC,         ,          ,PHNL,DANIEL K INOUYE INTL     
0,PAC,IHNL,         ,          ,PHNL,DANIEL K INOUYE INTL     
0,PAC,IIUM,         ,          ,PHNL,DANIEL K INOUYE INTL     
0,PAC,ILNY,         ,          ,PHNY,LANAI                    
0,PAC,IOGG,         ,          ,PHOG,KAHULUI                  
0,PAC,IITO,         ,          ,PHTO,HILO INTL                
0,SPA,TUT ,S14195733,W170422980,    ,PAGO PAGO                
0,SPA,ITUT,         ,          ,NSTU,PAGO PAGO INTL           
0,USA,ABI ,N32285279,W099514843,    ,ABILENE                  
0,USA,ABQ ,N35023766,W106485872,    ,ALBUQUERQUE              
0,USA,ABR ,N45250248,W098220739,    ,ABERDEEN                 
0,USA,ACH ,N35064214,W105022374,    ,ANTON CHICO              
0,USA,ACK ,N41165479,W070013616,    ,NANTUCKET                
0,USA,ACO ,N41062845,W081120547,    ,AKRON                    
0,USA,ACT ,N31394403,W097160845,    ,WACO                     
0,USA,ACV ,N40585319,W124062994,    ,ARCATA                   
0,USA,ACY ,N39272115,W074343473,    ,ATLANTIC CITY            
0,USA,ADM ,N34124171,W097100562,    ,ARDMORE                  
0,USA,ADW ,N38482599,W076515852,    ,ANDREWS                  
0,USA,AEL ,N43405425,W093221472,    ,ALBERT LEA               
0,USA,AEX ,N31152423,W092300350,    ,ALEXANDRIA               
0,USA,AGC ,N40164312,W080022708,    ,ALLEGHENY                
0,USA,AGJ ,N31110782,W098083069,    ,GOOCH SPRINGS            
0,USA,AHC ,N40160431,W120090708,    ,AMEDEE                   
0,USA,AHN ,N33565134,W083192913,    ,ATHENS                   
0,USA,AIA ,N42032027,W102481600,    ,ALLIANCE                 
0,USA,AIR ,N40010129,W080490202,    ,BELLAIRE                 
0,USA,AKO ,N40092000,W103104697,    ,AKRON                    
0,USA,ALB ,N42445020,W073481147,    ,ALBANY                   
0,USA,ALD ,N33004498,W081173204,    ,ALLENDALE                
0,USA,ALI ,N27442328,W098011683,    ,ALICE                    
0,USA,ALO ,N42332339,W092235613,    ,WATERLOO                 
0,USA,ALS ,N37205697,W105485592,    ,ALAMOSA                  
0,USA,ALW ,N46051312,W118173313,    ,WALLA WALLA              
0,USA,AMG ,N31321160,W082302912,    ,ALMA                     
0,USA,AML ,N38560454,W077280013,    ,ARMEL                    
0,USA,ANW ,N42340881,W099592278,    ,AINSWORTH                
0,USA,ANX ,N39054353,W094074381,    ,NAPOLEON                 
0,USA,ANY ,         ,          ,    ,ANTHONY                  
0,USA,APE ,N40090383,W082351789,    ,APPLETON                 
0,USA,APN ,N45045800,W083332521,    ,ALPENA                   
0,USA,ARD ,N40151203,W074542741,    ,YARDLEY                  
0,USA,ARG ,N36063607,W090571330,    ,WALNUT RIDGE             
0,USA,ARH ,         ,          ,    ,FORT HUACHUCA            
0,USA,ART ,N43570767,W076035266,    ,WATERTOWN                
0,USA,ASP ,         ,          ,    ,AU SABLE                 
0,USA,AST ,N46094211,W123524936,    ,ASTORIA                  
0,USA,ATL ,N33374468,W084260623,    ,ATLANTA                  
0,USA,ATR ,N38483532,W075124076,    ,WATERLOO                 
0,USA,ATY ,N44584687,W097083020,    ,WATERTOWN                
0,USA,AUG ,N44191207,W069474763,    ,AUGUSTA                  
0,USA,AUW ,N44504840,W089351168,    ,WAUSAU                   
0,USA,AVE ,N35384911,W119584298,    ,AVENAL                   
0,USA,AXC ,N39441508,W088512315,    ,ADDERS                   
0,USA,AXN ,N45573020,W095135749,    ,ALEXANDRIA               
0,USA,AYS ,N31160993,W082332320,    ,WAYCROSS                 
0,USA,AZO ,N42141315,W085331135,    ,KALAMAZOO                
0,USA,AZQ ,         ,          ,    ,HAZARD                   
0,USA,BAB ,         ,          ,    ,BEALE                    
0,USA,BAD ,         ,          ,    ,BARKSDALE                
0,USA,BAE ,N43070067,W088170364,    ,BADGER                   
0,USA,BAF ,N42094305,W072425832,    ,BARNES                   
0,USA,BAL ,N39101583,W076394052,    ,BALTIMORE                
0,USA,BAM ,N40340869,W116552012,    ,BATTLE MOUNTAIN          
0,USA,BCE ,N37412108,W112181403,    ,BRYCE CANYON             
0,USA,BDA ,N32215179,W064412246,    ,BERMUDA                  
0,USA,BDE ,         ,          ,    ,BAUDETTE                 
0,USA,BDF ,N41093503,W089351634,    ,BRADFORD                 
0,USA,BDH ,N45070361,W095073742,    ,WILLMAR                  
0,USA,BDR ,N41093854,W073072815,    ,BRIDGEPORT               
0,USA,BFD ,         ,          ,    ,BRADFORD                 
0,USA,BFF ,N41533899,W103285531,    ,SCOTTSBLUFF              
0,USA,BFM ,N30364580,W088031978,    ,BROOKLEY                 
0,USA,BFV ,N35141300,W099122220,    ,BURNS FLAT               
0,USA,BGD ,N35482546,W101225575,    ,BORGER                   
0,USA,BGR ,N44503046,W068522628,    ,BANGOR                   
0,USA,BGS ,N32230812,W101290126,    ,BIG SPRING               
0,USA,BIB ,N38551324,W088285450,    ,BIBLE GROVE              
0,USA,BIE ,N40180514,W096451672,    ,BEATRICE                 
0,USA,BIH ,N37223702,W118215950,    ,BISHOP                   
0,USA,BIL ,N45483081,W108372873,    ,BILLINGS                 
0,USA,BIS ,N46454234,W100395547,    ,BISMARCK                 
0,USA,BIX ,         ,          ,    ,KEESLER                  
0,USA,BJA ,         ,          ,    ,BURLINGTON               
0,USA,BJB ,N43251913,W088073068,    ,WEST BEND                
0,USA,BJC ,N39544695,W105082035,    ,JEFFCO                   
0,USA,BKE ,N44502616,W117482834,    ,BAKER CITY               
0,USA,BKF ,         ,          ,    ,BUCKLEY                  
0,USA,BKW ,N37464908,W081072444,    ,BECKLEY                  
0,USA,BLD ,N35594485,W114514888,    ,BOULDER CITY             
0,USA,BLF ,N37182319,W081113937,    ,BLUEFIELD                
0,USA,BLH ,N33354583,W114454058,    ,BLYTHE                   
0,USA,BMI ,N40285090,W088555256,    ,BLOOMINGTON              
0,USA,BML ,         ,          ,    ,BERLIN                   
0,USA,BNA ,N36081306,W086410518,    ,NASHVILLE                
0,USA,BOI ,N43331012,W116113165,    ,BOISE                    
0,USA,BOS ,N42212682,W070592237,    ,BOSTON                   
0,USA,BOY ,N43274735,W108175896,    ,BOYSEN RESERVOIR         
0,USA,BPI ,N42344601,W110063317,    ,BIG PINEY                
0,USA,BPT ,N29564580,W094005840,    ,BEAUMONT                 
0,USA,BQM ,         ,          ,    ,BOWMAN                   
0,USA,BQS ,N39375000,W093523100,    ,BRAYMER                  
0,USA,BQU ,N40453484,W115454096,    ,BULLION                  
0,USA,BQZ ,N40274955,W106522029,    ,ROBERT                   
0,USA,BRG ,         ,          ,    ,BELEN                    
0,USA,BRK ,N38564024,W104380048,    ,BLACK FOREST             
0,USA,BRL ,N40432444,W090553320,    ,BURLINGTON               
0,USA,BRO ,N25552666,W097223097,    ,BROWNSVILLE              
0,USA,BRV ,N38201053,W077211032,    ,BROOKE                   
0,USA,BSR ,N36105266,W121383160,    ,BIG SUR                  
0,USA,BSV ,N40442654,W081255562,    ,BRIGGS                   
0,USA,BTG ,N45445212,W122352953,    ,BATTLE GROUND            
0,USA,BTV ,N44234958,W073105749,    ,BURLINGTON               
0,USA,BTY ,N36480215,W116445151,    ,BEATTY                   
0,USA,BUA ,         ,          ,    ,BUFFALO                  
0,USA,BUD ,N40365975,W083034978,    ,BUCKEYE                  
0,USA,BUF ,N42554439,W078384683,    ,BUFFALO                  
0,USA,BUM ,N38161949,W094291774,    ,BUTLER                   
0,USA,BUU ,         ,          ,    ,BURBUN                   
0,USA,BVL ,N40433395,W113452670,    ,BONNEVILLE               
0,USA,BVO ,N36500361,W096010635,    ,BARTLESVILLE             
0,USA,BVT ,N40332222,W087040975,    ,BOILER                   
0,USA,BWD ,N31533330,W098572686,    ,BROWNWOOD                
0,USA,BWG ,         ,          ,    ,BOWLING GREEN            
0,USA,BWS ,         ,          ,    ,BOLES                    
0,USA,BWZ ,N40475436,W074491860,    ,BROADWAY                 
0,USA,BXK ,N33271244,W112492853,    ,BUCKEYE                  
0,USA,BYI ,N42344886,W113515709,    ,BURLEY                   
0,USA,BYP ,N33321495,W096140274,    ,BONHAM                   
0,USA,BZA ,N32460519,W114361061,    ,BARD                     
0,USA,BZM ,N35520787,W081142590,    ,BARRETTS MOUNTAIN        
0,USA,BZN ,N45470204,W111091964,    ,BOZEMAN                  
0,USA,CAE ,N33512610,W081031405,    ,COLUMBIA                 
0,USA,CAM ,N42593944,W073203847,    ,CAMBRIDGE                
0,USA,CBM ,N33382952,W088261886,    ,CALEDONIA                
0,USA,CBU ,         ,          ,    ,COLUMBIA                 
0,USA,CCC ,N40554663,W072475589,    ,CALVERTON                
0,USA,CCR ,N38024171,W122024275,    ,CONCORD                  
0,USA,CCT ,         ,          ,    ,CENTRAL CITY             
0,USA,CCV ,N37205114,W075595155,    ,CAPE CHARLES             
0,USA,CDS ,N34220863,W100172050,    ,CHILDRESS                
0,USA,CEC ,N41464648,W124142705,    ,CRESCENT CITY            
0,USA,CEF ,         ,          ,    ,WESTOVER                 
0,USA,CEW ,N30493423,W086404492,    ,CRESTVIEW                
0,USA,CEZ ,N37232345,W108334231,    ,CORTEZ                   
0,USA,CFB ,N42092697,W076081130,    ,BINGHAMTON               
0,USA,CGG ,N44405311,W084434295,    ,GRAYLING                 
0,USA,CGI ,         ,          ,    ,CAPE GIRARDEAU           
0,USA,CGT ,N41303602,W087341757,    ,CHICAGO HEIGHTS          
0,USA,CHE ,N40311229,W107181764,    ,HAYDEN                   
0,USA,CHS ,N32533955,W080021613,    ,CHARLESTON               
0,USA,CID ,N41531516,W091470869,    ,CEDAR RAPIDS             
0,USA,CIM ,N36292903,W104521920,    ,CIMARRON                 
0,USA,CIP ,         ,          ,    ,CLARION                  
0,USA,CKB ,N39151158,W080160430,    ,CLARKSBURG               
0,USA,CKV ,N36371915,W087244555,    ,CLARKSVILLE              
0,USA,CKW ,N41452055,W107345514,    ,CHEROKEE                 
0,USA,CLL ,N30361801,W096251445,    ,COLLEGE STATION          
0,USA,CLT ,N35112504,W080570631,    ,CHARLOTTE                
0,USA,CMA ,N34124508,W119053968,    ,CAMARILLO                
0,USA,CME ,N33201492,W104371648,    ,CHISUM                   
0,USA,CMI ,N40020431,W088163387,    ,CHAMPAIGN                
0,USA,CMK ,N41164832,W073345278,    ,CARMEL                   
0,USA,CMX ,N47101294,W088290742,    ,HOUGHTON                 
0,USA,CNG ,N37003099,W088501289,    ,CUNNINGHAM               
0,USA,CNM ,N32152381,W104133374,    ,CARLSBAD                 
0,USA,CNT ,         ,          ,    ,CURRANT                  
0,USA,CNU ,N37373417,W095353649,    ,CHANUTE                  
0,USA,CNX ,N34220126,W105404082,    ,CORONA                   
0,USA,COD ,N44371363,W108575370,    ,CODY                     
0,USA,COE ,N47462531,W116491412,    ,COEUR D'ALENE            
0,USA,COF ,         ,          ,    ,PATRICK                  
0,USA,COL ,N40184187,W074093502,    ,COLTS NECK               
0,USA,CON ,N43131123,W071343163,    ,CONCORD                  
0,USA,COT ,N28274326,W099070676,    ,COTULLA                  
0,USA,COU ,N38483896,W092130579,    ,COLUMBIA                 
0,USA,CPN ,N46015520,W112445110,    ,COPPERTOWN               
0,USA,CQY ,N32110860,W096130517,    ,CEDAR CREEK              
0,USA,CRE ,N33484983,W078432828,    ,GRAND STRAND             
0,USA,CRG ,N30201997,W081303574,    ,CRAIG                    
0,USA,CRI ,N40364490,W073534000,    ,CANARSIE                 
0,USA,CRL ,N42025290,W083272726,    ,CARLETON                 
0,USA,CRP ,N27541356,W097264157,    ,CORPUS CHRISTI           
0,USA,CSG ,N32365491,W085010347,    ,COLUMBUS                 
