"Column","Field Name (Length)","Reference"
"1 thru 21","Fields as on Primary Records",""
"22","Continuation Record No. (1)","5.16"
"23","Application Type (1)","5.91"
"24","Navaid Limitation Code (1)","5.205"
"25","Component Affected Indicator (1)","5.206"
"26 thru 27","Sequence Number (2)","5.12"
"28 thru 29","Sector From/Sector To (2)","5.207"
"30","Distance Description (1)","5.187"
"31 thru 36","Distance Limitation (6)","5.208"
"37","Altitude Description (1)","5.29"
"38 thru 43","Altitude Limitation (6)","5.209"
"44 thru 45","Sector From/Sector To (2)","5.207"
"46","Distance Description (1)","5.187"
"47 thru 52","Distance Limitation (6)","5.208"
"53","Altitude Description (1)","5.29"
"54 thru 59","Altitude Limitation (6)","5.209"
"60 thru 61","Sector From/Sector To (2)","5.207"
"62","Distance Description (1)","5.187"
"63 thru 68","Distance Limitation (6)","5.208"
"69","Altitude Description (1)","5.29"
"70 thru 75","Altitude Limitation (6)","5.209"
"76 thru 77","Sector From/Sector To (2)","5.207"
"78","Distance Description (1)","5.187"
"79 thru 84","Distance Limitation (6)","5.208"
"85","Altitude Description (1)","5.29"
"86 thru 91","Altitude Limitation (6)","5.209"
"92 thru 93","Sector From/Sector To (2)","5.207"
"94","Distance Description (1)","5.187"
"95 thru 100","Distance Limitation (6)","5.208"
"101","Altitude Description (1)","5.29"
"102 thru 107","Altitude Limitation (6)","5.209"
"108","Sequence End Indicator (1)","5.210"
"109 thru 123","Blank (Spacing) (15)",""
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
