"Column","Filed Name (Length)","Reference"
"1 thru 24","Fields as on Primary Records",""
"25","Continuation Record Number (1)","5.16"
"26","Application Type (1)","5.91"
"27","Time Code (1)","5.131"
"28","NOTAM (1)","5.132"
"29","Time Indicator (1)","5.138"
"30 thru 39","Time of Operations (10)","5.195"
"40 thru 49","Time of Operations (10)","5.195"
"50 thru 59","Time of Operations (10)","5.195"
"60 thru 69","Time of Operations (10)","5.195"
"70 thru 79","Time of Operations (10)","5.195"
"80 thru 89","Time of Operations (10)","5.195"
"90 thru 99","Time of Operations (10)","5.195"
"100 thru 123","Controlling Agency (24)","5.140"
"124 thru 128","File Record Number (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
