"Columns","Field Name (Length)","Reference"
"1","Record Type (1)","5.2"
"2 thru 4","Customer/Area Code (3)","5.3"
"5","Section Code (1)","5.4"
"6","Subsection Code (1)","5.5"
"7 thru 13","Blank (Spacing) (7)",""
"14 thru 23","Route Identifier (10)","5.8"
"24 thru 25","Preferred Route Use Ind (2)","5.220"
"26 thru 29","Sequence Number (4)","5.12"
"30 thru 38","Blank (Spacing) (9)",""
"39","Continuation Record No. (1)","5.16"
"40 thru 44","To Fix Identifier (5)","5.83"
"45 thru 46","ICAO Code (2)","5.14"
"47","Section Code (1)","5.4"
"48","Subsection Code (1)","5.5"
"49 thru 51","VIA Code (3)","5.77"
"52 thru 57","SID/STAR/AWY Ident (6)  
Note 1","5.78"
"58 thru 60","AREA Code (3)","5.3"
"61","Level (1)","5.19"
"62","Route Type (1)","5.7"
"63 thru 67","Initial Airport/Fix (5)","5.194"
"68 thru 69","ICAO Code (2)","5.14"
"70","Section Code (1)","5.4"
"71","Subsection Code (1)","5.5"
"72 thru 76","Terminus Airport/Fix (5)","5.194"
"77 thru 78","ICAO Code (2)","5.14"
"79","Section Code (1)","5.4"
"80","Subsection Code (1)","5.5"
"81 thru 85","Minimum Altitude (5)","5.30"
"86 thru 90","Maximum Altitude (5)","5.127"
"91","Time Code (1)","5.131"
"92 thru 93","Aircraft Use Group (2)","5.221"
"94","Direction Restriction (1)","5.115"
"95","Altitude Description (1)","5.29"
"96 thru 100","Altitude One (5)","5.30"
"101 thru 105","Altitude Two (5)","5.30"
"106","SID/STAR/App/Awy Route Type (1)","5.7"
"107","S/S/A Route Type Qualifier 1 (1)","5.7"
"108","S/S/A Route Type Qualifier 2 (1)","5.7"
"109 thru 123","Reserved (Expansion) (15)",""
"124 thru 128","File Record Number (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
