"Column","Field Name (Length)","Reference"
"1 thru 24","Fields as on Primary Records",""
"25","Continuation Record Number (1)","5.16"
"26","Application Type (1)","5.91"
"27 thru 29","Speed Limit (3)","5.72"
"30 thru 34","Speed Limit Altitude (5)","5.73"
"35","Speed Limit Aircraft Category/Type (1)","5.301"
"36 thru 38","Speed Limit 2 (3)","5.72"
"39 thru 43","Speed Limit Altitude 2 (5)","5.73"
"44","Speed Limit Aircraft Category/Type 2 (1)","5.301"
"45 thru 123","Blank (79)",""
"124 thru 128","File Record Number (5)","5.31"
"129 thru 132","Cycle Date (4)","5.32"
